Season,Player Name,GW,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,fpl_id,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,match_identifier
2020-21,Aaron Cresswell,1,0,0,0.0,90,DL,West Ham,Newcastle United,0,2,2020-09-12,534,2020,435,0,0.0,0,0,0,0.0,0.19454799592494965,0.19454799592494965,14091
2020-21,Aaron Cresswell,2,0,0,0.0,90,DC,Arsenal,West Ham,2,1,2020-09-19,534,2020,435,0,0.011331300251185894,0,2,0,0.0,0.08081500232219696,0.08081500232219696,14099
2020-21,Aaron Cresswell,4,0,0,0.0,90,DC,Leicester,West Ham,0,3,2020-10-04,534,2020,435,0,0.7170220017433167,2,4,0,0.0,1.231220006942749,0.9046930074691772,14470
2020-21,Aaron Cresswell,7,0,0,0.0,90,DC,Liverpool,West Ham,2,1,2020-10-31,534,2020,435,0,0.0,0,0,0,0.0,0.0,0.0,14499
2020-21,Aaron Cresswell,8,0,2,0.18075700104236603,90,DC,West Ham,Fulham,1,0,2020-11-07,534,2020,435,0,0.26844000816345215,0,4,0,0.18075700104236603,0.1978829950094223,0.1137859970331192,14514
2020-21,Aaron Cresswell,9,0,0,0.0,90,DC,Sheffield United,West Ham,0,1,2020-11-22,534,2020,435,0,0.05457489937543869,0,1,0,0.0,0.34106698632240295,0.34106698632240295,14522
2020-21,Aaron Cresswell,10,0,0,0.0,90,DC,West Ham,Aston Villa,2,1,2020-11-30,534,2020,435,0,0.0,0,0,0,0.0,0.02226109988987446,0.02226109988987446,14526
2020-21,Aaron Cresswell,12,0,0,0.0,90,DL,Leeds,West Ham,1,2,2020-12-11,534,2020,435,0,0.449429988861084,1,2,0,0.0,0.24090099334716797,0.24090099334716797,14548
2020-21,Aaron Cresswell,13,0,1,0.03092239983379841,90,DL,West Ham,Crystal Palace,1,1,2020-12-16,534,2020,435,0,0.0,0,0,0,0.03092239983379841,0.27817198634147644,0.27817198634147644,14561
2020-21,Aaron Cresswell,14,0,1,0.04129309952259064,90,DL,Chelsea,West Ham,3,0,2020-12-21,534,2020,435,0,0.0404651015996933,0,1,0,0.04129309952259064,0.08175820112228394,0.0,14567
2020-21,Aaron Cresswell,15,0,1,0.032444000244140625,90,DC,West Ham,Brighton,2,2,2020-12-27,534,2020,435,0,0.06085760146379471,0,2,0,0.032444000244140625,0.05295569822192192,0.0,14583
2020-21,Aaron Cresswell,16,0,0,0.0,90,DL,Southampton,West Ham,0,0,2020-12-29,534,2020,435,0,0.1053370013833046,0,1,0,0.0,0.019412200897932053,0.019412200897932053,14588
2020-21,Aaron Cresswell,17,0,3,0.10652700066566467,90,DL,Everton,West Ham,0,1,2021-01-01,534,2020,435,0,0.0,0,0,0,0.10652700066566467,0.6666780114173889,0.6046820282936096,14595
2020-21,Aaron Cresswell,19,0,0,0.0,90,DL,West Ham,Burnley,1,0,2021-01-16,534,2020,435,0,0.0,0,0,0,0.0,0.3889249861240387,0.3889249861240387,14623
2020-21,Aaron Cresswell,20,0,1,0.0749358981847763,90,DL,Crystal Palace,West Ham,2,3,2021-01-26,534,2020,435,0,0.4576919972896576,1,2,0,0.0749358981847763,0.7786129713058472,0.5431990027427673,14634
2020-21,Aaron Cresswell,21,0,0,0.0,90,DL,West Ham,Liverpool,1,3,2021-01-31,534,2020,435,0,0.0,0,0,0,0.0,0.07909540086984634,0.07909540086984634,14639
2020-21,Aaron Cresswell,22,0,2,0.07211209833621979,90,DL,Aston Villa,West Ham,1,3,2021-02-03,534,2020,435,0,0.25811299681663513,0,2,0,0.07211209833621979,0.35421401262283325,0.07983040064573288,14645
2020-21,Aaron Cresswell,23,0,1,0.044048700481653214,90,DL,Fulham,West Ham,0,0,2021-02-06,534,2020,435,0,0.7153080105781555,0,2,0,0.044048700481653214,0.6185879707336426,0.028282999992370605,14657
2020-21,Aaron Cresswell,24,0,1,0.04574820026755333,90,DC,West Ham,Sheffield United,3,0,2021-02-15,534,2020,435,0,0.5013179779052734,1,2,0,0.04574820026755333,0.13665300607681274,0.13665300607681274,14674
2020-21,Aaron Cresswell,27,0,1,0.06819780170917511,90,DL,West Ham,Leeds,2,0,2021-03-08,534,2020,435,0,0.9527959823608398,1,2,0,0.06819780170917511,0.14821399748325348,0.14821399748325348,14704
2020-21,Aaron Cresswell,29,0,0,0.0,90,DL,West Ham,Arsenal,3,3,2021-03-21,534,2020,435,0,0.10006699711084366,0,1,0,0.0,0.2975119948387146,0.19744500517845154,14724
2020-21,Aaron Cresswell,31,0,0,0.0,55,DL,West Ham,Leicester,3,2,2021-04-11,534,2020,435,0,0.0,0,0,0,0.0,0.06245119869709015,0.06245119869709015,14744
2020-21,Aaron Cresswell,34,0,2,0.07259120047092438,90,DL,Burnley,West Ham,1,2,2021-05-03,534,2020,435,0,0.3040800094604492,0,5,0,0.07259120047092438,0.8122329711914062,0.7315890192985535,14766
2020-21,Aaron Cresswell,35,0,0,0.0,61,DL,West Ham,Everton,0,1,2021-05-09,534,2020,435,0,0.012748000212013721,0,1,0,0.0,0.012748000212013721,0.012748000212013721,14783
2020-21,Aaron Cresswell,36,0,0,0.0,90,DL,Brighton,West Ham,1,1,2021-05-15,534,2020,435,0,0.7839959859848022,0,4,0,0.0,0.7839959859848022,0.704662024974823,14785
2020-21,Aaron Cresswell,38,0,0,0.0,90,DL,West Ham,Southampton,3,0,2021-05-23,534,2020,435,0,0.04360850155353546,0,1,0,0.0,0.010615999810397625,0.010615999810397625,14813
2020-21,Aaron Ramsdale,2,0,0,0.0,90,GK,Aston Villa,Sheffield United,1,0,2020-09-21,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14104
2020-21,Aaron Ramsdale,3,0,0,0.0,90,GK,Sheffield United,Leeds,0,1,2020-09-27,5603,2020,483,0,0.05357090011239052,0,1,0,0.0,0.1331239938735962,0.0795534998178482,14110
2020-21,Aaron Ramsdale,4,0,0,0.0,90,GK,Arsenal,Sheffield United,2,1,2020-10-04,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14465
2020-21,Aaron Ramsdale,5,0,0,0.0,90,GK,Sheffield United,Fulham,1,1,2020-10-18,5603,2020,483,0,0.0,0,0,0,0.0,0.037936098873615265,0.037936098873615265,14482
2020-21,Aaron Ramsdale,6,0,0,0.0,90,GK,Liverpool,Sheffield United,2,1,2020-10-24,5603,2020,483,0,0.0,0,0,0,0.0,0.2577959895133972,0.2577959895133972,14490
2020-21,Aaron Ramsdale,8,0,0,0.0,90,GK,Chelsea,Sheffield United,4,1,2020-11-07,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14507
2020-21,Aaron Ramsdale,9,0,0,0.0,90,GK,Sheffield United,West Ham,0,1,2020-11-22,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14522
2020-21,Aaron Ramsdale,11,0,0,0.0,90,GK,Sheffield United,Leicester,1,2,2020-12-06,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14541
2020-21,Aaron Ramsdale,12,0,0,0.0,90,GK,Southampton,Sheffield United,3,0,2020-12-13,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14551
2020-21,Aaron Ramsdale,14,0,0,0.0,90,GK,Brighton,Sheffield United,1,1,2020-12-20,5603,2020,483,0,0.0,0,0,0,0.0,0.4198859930038452,0.4198859930038452,14565
2020-21,Aaron Ramsdale,15,0,0,0.0,90,GK,Sheffield United,Everton,0,1,2020-12-26,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14582
2020-21,Aaron Ramsdale,16,0,0,0.0,90,GK,Burnley,Sheffield United,1,0,2020-12-29,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14587
2020-21,Aaron Ramsdale,17,0,0,0.0,90,GK,Crystal Palace,Sheffield United,2,0,2021-01-02,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14604
2020-21,Aaron Ramsdale,18,0,0,0.0,90,GK,Sheffield United,Newcastle United,1,0,2021-01-12,5603,2020,483,0,0.0,0,0,0,0.0,0.13990700244903564,0.13990700244903564,14610
2020-21,Aaron Ramsdale,23,0,0,0.0,90,GK,Sheffield United,Chelsea,1,2,2021-02-07,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14662
2020-21,Aaron Ramsdale,24,0,0,0.0,90,GK,West Ham,Sheffield United,3,0,2021-02-15,5603,2020,483,0,0.0,0,0,0,0.0,0.020286800339818,0.020286800339818,14674
2020-21,Aaron Ramsdale,25,0,0,0.0,90,GK,Fulham,Sheffield United,1,0,2021-02-20,5603,2020,483,0,0.0,0,0,0,0.0,0.3746170103549957,0.3746170103549957,14679
2020-21,Aaron Ramsdale,26,0,0,0.0,90,GK,Sheffield United,Aston Villa,1,0,2021-03-03,5603,2020,483,0,0.0,0,0,0,0.0,0.05033959820866585,0.05033959820866585,14721
2020-21,Aaron Ramsdale,26,0,0,0.0,90,GK,Sheffield United,Liverpool,0,2,2021-02-28,5603,2020,483,0,0.0,0,0,0,0.0,0.026379700750112534,0.026379700750112534,14694
2020-21,Aaron Ramsdale,27,0,0,0.0,90,GK,Sheffield United,Southampton,0,2,2021-03-06,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14701
2020-21,Aaron Ramsdale,28,0,0,0.0,90,GK,Leicester,Sheffield United,5,0,2021-03-14,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14710
2020-21,Aaron Ramsdale,30,0,0,0.0,90,GK,Leeds,Sheffield United,2,1,2021-04-03,5603,2020,483,0,0.0,0,0,0,0.0,0.09053950011730194,0.09053950011730194,14729
2020-21,Aaron Ramsdale,31,0,0,0.0,90,GK,Sheffield United,Arsenal,0,3,2021-04-11,5603,2020,483,0,0.0,0,0,0,0.0,0.012955100275576115,0.012955100275576115,14741
2020-21,Aaron Ramsdale,33,0,0,0.0,90,GK,Sheffield United,Brighton,1,0,2021-04-24,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14762
2020-21,Aaron Ramsdale,35,0,0,0.0,90,GK,Sheffield United,Crystal Palace,0,2,2021-05-08,5603,2020,483,0,0.0,0,0,0,0.0,0.025484900921583176,0.025484900921583176,14782
2020-21,Aaron Ramsdale,36,0,0,0.0,90,GK,Everton,Sheffield United,0,1,2021-05-16,5603,2020,483,0,0.0,0,0,0,0.0,0.0,0.0,14787
2020-21,Aaron Ramsdale,37,0,0,0.0,90,GK,Newcastle United,Sheffield United,1,0,2021-05-19,5603,2020,483,0,0.0,0,0,0,0.0,0.024533500894904137,0.024533500894904137,14801
2020-21,Aaron Ramsdale,38,0,0,0.0,90,GK,Sheffield United,Burnley,1,0,2021-05-23,5603,2020,483,0,0.02410079911351204,0,1,0,0.0,0.10506899654865265,0.08096840232610703,14812
2020-21,Aaron Wan-Bissaka,3,0,0,0.0,90,DR,Brighton,Manchester United,2,3,2020-09-26,5584,2020,313,0,0.0,0,0,0,0.0,0.016620300710201263,0.016620300710201263,14106
2020-21,Aaron Wan-Bissaka,5,1,2,0.136026993393898,90,DR,Newcastle United,Manchester United,1,4,2020-10-17,5584,2020,313,0,0.047140900045633316,0,2,1,0.136026993393898,0.45399999618530273,0.27083200216293335,14481
2020-21,Aaron Wan-Bissaka,6,0,0,0.0,90,DR,Manchester United,Chelsea,0,0,2020-10-24,5584,2020,313,0,0.0,0,0,0,0.0,0.020702499896287918,0.020702499896287918,14491
2020-21,Aaron Wan-Bissaka,7,0,0,0.0,90,DR,Manchester United,Arsenal,0,1,2020-11-01,5584,2020,313,0,0.0,0,0,0,0.0,0.11525899916887283,0.11525899916887283,14500
2020-21,Aaron Wan-Bissaka,8,0,0,0.0,90,DR,Everton,Manchester United,1,3,2020-11-07,5584,2020,313,0,0.0,0,0,0,0.0,0.051280099898576736,0.051280099898576736,14509
2020-21,Aaron Wan-Bissaka,10,0,0,0.0,90,DR,Southampton,Manchester United,2,3,2020-11-29,5584,2020,313,0,0.07383140176534653,0,1,0,0.0,0.683201014995575,0.683201014995575,14534
2020-21,Aaron Wan-Bissaka,11,0,0,0.0,90,DR,West Ham,Manchester United,1,3,2020-12-05,5584,2020,313,0,0.029502900317311287,0,1,0,0.0,0.37786999344825745,0.37786999344825745,14544
2020-21,Aaron Wan-Bissaka,13,0,0,0.0,90,DR,Sheffield United,Manchester United,2,3,2020-12-17,5584,2020,313,0,0.0,0,0,0,0.0,0.06004960089921951,0.06004960089921951,14560
2020-21,Aaron Wan-Bissaka,14,0,0,0.0,90,DR,Manchester United,Leeds,6,2,2020-12-20,5584,2020,313,0,0.0,0,0,0,0.0,0.2939319908618927,0.2939319908618927,14570
2020-21,Aaron Wan-Bissaka,17,0,0,0.0,90,DR,Manchester United,Aston Villa,2,1,2021-01-01,5584,2020,313,0,0.3985379934310913,1,2,0,0.0,0.5042579770088196,0.1346130073070526,14596
2020-21,Aaron Wan-Bissaka,18,0,0,0.0,90,DR,Burnley,Manchester United,0,1,2021-01-12,5584,2020,313,0,0.02117850072681904,0,1,0,0.0,0.2572149932384491,0.2360360026359558,14088
2020-21,Aaron Wan-Bissaka,19,0,0,0.0,90,DR,Fulham,Manchester United,1,2,2021-01-20,5584,2020,313,0,0.23237599432468414,0,1,0,0.0,0.3141759932041168,0.08180060237646103,14607
2020-21,Aaron Wan-Bissaka,19,0,0,0.0,90,DR,Liverpool,Manchester United,0,0,2021-01-17,5584,2020,313,0,0.0,0,0,0,0.0,0.4860990047454834,0.4860990047454834,14620
2020-21,Aaron Wan-Bissaka,20,0,1,0.019760500639677048,90,DR,Manchester United,Sheffield United,1,2,2021-01-27,5584,2020,313,0,0.17272000014781952,0,3,0,0.019760500639677048,0.5589950084686279,0.46867701411247253,14628
2020-21,Aaron Wan-Bissaka,21,0,1,0.08664830029010773,90,DR,Arsenal,Manchester United,0,0,2021-01-30,5584,2020,313,0,0.4532899856567383,0,2,0,0.08664830029010773,0.5594519972801208,0.4391559958457947,14635
2020-21,Aaron Wan-Bissaka,22,1,1,0.615185022354126,90,DR,Manchester United,Southampton,9,0,2021-02-02,5584,2020,313,0,0.0,0,0,1,0.615185022354126,2.193619966506958,1.5784399509429932,14651
2020-21,Aaron Wan-Bissaka,23,0,0,0.0,90,DR,Manchester United,Everton,3,3,2021-02-06,5584,2020,313,0,0.10451000183820724,1,2,0,0.0,0.8709689974784851,0.7977859973907471,14660
2020-21,Aaron Wan-Bissaka,25,0,1,0.03336210176348686,90,DR,Manchester United,Newcastle United,3,1,2021-02-21,5584,2020,313,0,0.0,0,0,0,0.03336210176348686,0.21256600320339203,0.17920400202274323,14681
2020-21,Aaron Wan-Bissaka,26,0,0,0.0,90,DR,Crystal Palace,Manchester United,0,0,2021-03-03,5584,2020,313,0,0.0,0,0,0,0.0,0.2943199872970581,0.2943199872970581,14717
2020-21,Aaron Wan-Bissaka,26,0,0,0.0,90,DR,Chelsea,Manchester United,0,0,2021-02-28,5584,2020,313,0,0.06342530250549316,0,1,0,0.0,0.09915090352296829,0.03572560101747513,14685
2020-21,Aaron Wan-Bissaka,28,0,0,0.0,90,DR,Manchester United,West Ham,1,0,2021-03-14,5584,2020,313,0,0.10411400347948074,0,2,0,0.0,0.41182801127433777,0.3077149987220764,14711
2020-21,Aaron Wan-Bissaka,30,0,0,0.0,90,DR,Manchester United,Brighton,2,1,2021-04-04,5584,2020,313,0,0.07650790363550186,0,2,0,0.0,0.3634209930896759,0.3634209930896759,14731
2020-21,Aaron Wan-Bissaka,32,0,0,0.0,90,DR,Manchester United,Burnley,3,1,2021-04-18,5584,2020,313,0,0.0922710970044136,0,2,0,0.0,0.18946300446987152,0.09719210118055344,14751
2020-21,Aaron Wan-Bissaka,33,0,0,0.0,90,DR,Leeds,Manchester United,0,0,2021-04-25,5584,2020,313,0,0.10163000226020813,0,1,0,0.0,0.11953400075435638,0.01790430024266243,14758
2020-21,Aaron Wan-Bissaka,35,0,0,0.0,90,DR,Manchester United,Liverpool,2,4,2021-05-13,5584,2020,313,0,0.05725409835577011,1,2,0,0.0,0.5207719802856445,0.48270198702812195,14770
2020-21,Aaron Wan-Bissaka,35,0,0,0.0,90,DR,Aston Villa,Manchester United,1,3,2021-05-09,5584,2020,313,0,0.06270550191402435,1,1,0,0.0,0.23334099352359772,0.17063499987125397,14776
2020-21,Aaron Wan-Bissaka,37,0,0,0.0,90,DR,Manchester United,Fulham,1,1,2021-05-18,5584,2020,313,0,0.2786470055580139,0,2,0,0.0,0.2932949960231781,0.14786599576473236,14800
2020-21,Abdoulaye Doucouré,3,0,1,0.13667599856853485,90,MC,Crystal Palace,Everton,1,2,2020-09-26,1726,2020,512,0,0.0,0,0,0,0.13667599856853485,0.6280840039253235,0.49140799045562744,14107
2020-21,Abdoulaye Doucouré,4,0,0,0.0,90,MC,Everton,Brighton,4,2,2020-10-03,1726,2020,512,0,0.7526630163192749,1,3,0,0.0,0.8288140296936035,0.6390630006790161,14468
2020-21,Abdoulaye Doucouré,5,0,1,0.013977199792861938,81,MC,Everton,Liverpool,2,2,2020-10-17,1726,2020,512,0,0.11680100113153458,0,1,0,0.013977199792861938,0.1574449986219406,0.1434680074453354,14477
2020-21,Abdoulaye Doucouré,6,0,1,0.014168200083076954,59,MC,Southampton,Everton,2,0,2020-10-25,1726,2020,512,0,0.0,0,0,0,0.014168200083076954,0.06971459835767746,0.06971459835767746,14492
2020-21,Abdoulaye Doucouré,7,0,2,0.1400039941072464,90,MC,Newcastle United,Everton,2,1,2020-11-01,1726,2020,512,0,0.0,0,0,0,0.1400039941072464,0.2589159905910492,0.19299200177192688,14501
2020-21,Abdoulaye Doucouré,9,1,1,0.5784509778022766,90,MC,Fulham,Everton,2,3,2020-11-22,1726,2020,512,0,0.056663498282432556,0,1,1,0.5784509778022766,1.5546799898147583,0.9762259721755981,14517
2020-21,Abdoulaye Doucouré,10,0,1,0.34888899326324463,90,MC,Everton,Leeds,0,1,2020-11-28,1726,2020,512,0,0.0,0,0,0,0.34888899326324463,0.41749700903892517,0.06860820204019547,14531
2020-21,Abdoulaye Doucouré,11,0,0,0.0,84,MC,Burnley,Everton,1,1,2020-12-05,1726,2020,512,0,0.06490019708871841,0,2,0,0.0,0.14346900582313538,0.14346900582313538,14537
2020-21,Abdoulaye Doucouré,12,0,0,0.0,90,MC,Everton,Chelsea,1,0,2020-12-12,1726,2020,512,0,0.0,0,0,0,0.0,0.05877310037612915,0.05877310037612915,14546
2020-21,Abdoulaye Doucouré,13,0,1,0.022356700152158737,90,MC,Leicester,Everton,0,2,2020-12-16,1726,2020,512,0,0.0,0,0,0,0.022356700152158737,0.13247300684452057,0.13247300684452057,14559
2020-21,Abdoulaye Doucouré,14,0,0,0.0,90,DMC,Everton,Arsenal,2,1,2020-12-19,1726,2020,512,0,0.0,0,0,0,0.0,0.05148300155997276,0.05148300155997276,14569
2020-21,Abdoulaye Doucouré,15,0,0,0.0,90,DMC,Sheffield United,Everton,0,1,2020-12-26,1726,2020,512,0,0.11083900183439255,1,1,0,0.0,0.1739410012960434,0.0631026029586792,14582
2020-21,Abdoulaye Doucouré,17,0,2,0.037364598363637924,90,DMC,Everton,West Ham,0,1,2021-01-01,1726,2020,512,0,0.0,0,0,0,0.037364598363637924,0.08841720223426819,0.08841720223426819,14595
2020-21,Abdoulaye Doucouré,21,0,0,0.0,90,DMC,Everton,Newcastle United,0,2,2021-01-30,1726,2020,512,0,0.1523129940032959,0,2,0,0.0,0.1688919961452484,0.01657879911363125,14644
2020-21,Abdoulaye Doucouré,22,0,0,0.0,90,DMC,Leeds,Everton,1,2,2021-02-03,1726,2020,512,0,0.6106809973716736,0,2,0,0.0,0.6106809973716736,0.0553629994392395,14648
2020-21,Abdoulaye Doucouré,24,0,0,0.0,90,MC,Everton,Fulham,0,2,2021-02-14,1726,2020,512,0,0.0,0,0,0,0.0,0.11297599971294403,0.11297599971294403,14669
2020-21,Abdoulaye Doucouré,25,0,1,0.03306970000267029,90,MC,Liverpool,Everton,0,2,2021-02-20,1726,2020,512,0,0.0579507015645504,0,1,0,0.03306970000267029,0.41163599491119385,0.3536849915981293,14680
2020-21,Abdoulaye Doucouré,26,0,0,0.0,90,MC,Everton,Southampton,1,0,2021-03-01,1726,2020,512,0,0.0,0,0,0,0.0,0.6845399737358093,0.6845399737358093,14686
2020-21,Abdoulaye Doucouré,35,0,3,0.2364259958267212,90,MC,Aston Villa,Everton,0,0,2021-05-13,1726,2020,512,0,0.15202699601650238,0,1,0,0.2364259958267212,0.5090169906616211,0.12056399881839752,14616
2020-21,Abdoulaye Doucouré,36,0,0,0.0,80,MC,Everton,Sheffield United,0,1,2021-05-16,1726,2020,512,0,0.0,0,0,0,0.0,0.42941001057624817,0.42941001057624817,14787
2020-21,Adam Lallana,1,0,0,0.0,44,MC,Brighton,Chelsea,1,3,2020-09-14,486,2020,54,0,0.0793600007891655,0,2,0,0.0,0.4203149974346161,0.40132901072502136,14095
2020-21,Adam Lallana,2,0,0,0.0,7,Sub,Newcastle United,Brighton,0,3,2020-09-20,486,2020,54,0,0.0,0,0,0,0.0,0.26961401104927063,0.26961401104927063,14101
2020-21,Adam Lallana,4,0,0,0.0,22,Sub,Everton,Brighton,4,2,2020-10-03,486,2020,54,0,0.020070699974894524,0,1,0,0.0,0.020070699974894524,0.0,14468
2020-21,Adam Lallana,5,0,1,0.03250819817185402,79,AMC,Crystal Palace,Brighton,1,1,2020-10-18,486,2020,54,0,0.0,0,0,0,0.03250819817185402,0.12573400139808655,0.09322589635848999,14476
2020-21,Adam Lallana,8,0,3,0.14652599394321442,90,MC,Brighton,Burnley,0,0,2020-11-06,486,2020,54,0,0.4795820116996765,0,3,0,0.14652599394321442,0.7914999723434448,0.21937400102615356,14506
2020-21,Adam Lallana,9,0,1,0.13675400614738464,47,AMC,Aston Villa,Brighton,1,2,2020-11-21,486,2020,54,0,0.2718929946422577,1,1,0,0.13675400614738464,0.40864700078964233,0.0,14515
2020-21,Adam Lallana,10,0,0,0.0,8,Sub,Brighton,Liverpool,1,1,2020-11-28,486,2020,54,0,0.0,0,0,0,0.0,0.0,0.0,14528
2020-21,Adam Lallana,13,0,0,0.0,88,AMC,Fulham,Brighton,0,0,2020-12-16,486,2020,54,0,0.0,0,0,0,0.0,0.0,0.0,14557
2020-21,Adam Lallana,14,0,1,0.020919600501656532,90,MC,Brighton,Sheffield United,1,1,2020-12-20,486,2020,54,0,0.11996699869632721,0,2,0,0.020919600501656532,0.3208650052547455,0.17997799813747406,14565
2020-21,Adam Lallana,15,0,0,0.0,47,MC,West Ham,Brighton,2,2,2020-12-27,486,2020,54,0,0.027469800785183907,0,2,0,0.0,0.10794399678707123,0.0903697982430458,14583
2020-21,Adam Lallana,22,0,0,0.0,22,Sub,Liverpool,Brighton,0,1,2021-02-03,486,2020,54,0,0.016594400629401207,0,1,0,0.0,0.0483894981443882,0.03179499879479408,14654
2020-21,Adam Lallana,23,0,0,0.0,14,Sub,Burnley,Brighton,1,1,2021-02-06,486,2020,54,0,0.0,0,0,0,0.0,0.0,0.0,14656
2020-21,Adam Lallana,24,0,1,0.01643720082938671,27,Sub,Brighton,Aston Villa,0,0,2021-02-13,486,2020,54,0,0.8669570088386536,0,4,0,0.01643720082938671,0.9733489751815796,0.15342900156974792,14666
2020-21,Adam Lallana,25,0,2,0.2086620032787323,21,Sub,Brighton,Crystal Palace,1,2,2021-02-22,486,2020,54,0,0.0,0,0,0,0.2086620032787323,0.3060460090637207,0.09738340228796005,14677
2020-21,Adam Lallana,27,1,4,0.5565869808197021,90,FW,Brighton,Leicester,1,2,2021-03-06,486,2020,54,0,0.0,0,0,1,0.5565869808197021,0.5392969846725464,0.0,14696
2020-21,Adam Lallana,28,0,0,0.0,90,MC,Southampton,Brighton,1,2,2021-03-14,486,2020,54,0,0.0,0,0,0,0.0,0.41229701042175293,0.41229701042175293,14713
2020-21,Adam Lallana,29,0,0,0.0,90,MC,Brighton,Newcastle United,3,0,2021-03-20,486,2020,54,0,0.05544529855251312,0,1,0,0.0,0.7672230005264282,0.7672230005264282,14715
2020-21,Adam Lallana,31,0,4,0.18991400301456451,90,MC,Brighton,Everton,0,0,2021-04-12,486,2020,54,0,0.13756699860095978,0,3,0,0.18991400301456451,0.3698369860649109,0.12223599851131439,14735
2020-21,Adam Lallana,32,0,2,0.15355899930000305,28,Sub,Chelsea,Brighton,0,0,2021-04-20,486,2020,54,0,0.019189199432730675,0,1,0,0.15355899930000305,0.17274799942970276,0.0,14747
2020-21,Adam Lallana,33,0,2,0.09725350141525269,90,MC,Sheffield United,Brighton,1,0,2021-04-24,486,2020,54,0,0.05705749988555908,0,1,0,0.09725350141525269,1.3859399557113647,1.2886899709701538,14762
2020-21,Adam Lallana,36,0,0,0.0,22,Sub,Brighton,West Ham,1,1,2021-05-15,486,2020,54,0,0.0,0,0,0,0.0,0.334307998418808,0.334307998418808,14785
2020-21,Adam Lallana,38,0,0,0.0,44,Sub,Arsenal,Brighton,2,0,2021-05-23,486,2020,54,0,0.0,0,0,0,0.0,0.0,0.0,14805
2020-21,Adam Webster,1,0,1,0.014489199966192245,90,DC,Brighton,Chelsea,1,3,2020-09-14,7699,2020,66,0,0.04331560060381889,0,1,0,0.014489199966192245,0.708145022392273,0.6936550140380859,14095
2020-21,Adam Webster,2,0,0,0.0,90,DC,Newcastle United,Brighton,0,3,2020-09-20,7699,2020,66,0,0.0,0,0,0,0.0,0.1402219980955124,0.1402219980955124,14101
2020-21,Adam Webster,4,0,1,0.042450398206710815,90,DC,Everton,Brighton,4,2,2020-10-03,7699,2020,66,0,0.0,0,0,0,0.042450398206710815,0.11784200370311737,0.07539159804582596,14468
2020-21,Adam Webster,5,0,1,0.12498699873685837,90,DC,Crystal Palace,Brighton,1,1,2020-10-18,7699,2020,66,0,0.026273200288414955,0,1,0,0.12498699873685837,0.3128359913825989,0.2865630090236664,14476
2020-21,Adam Webster,8,0,1,0.013115400448441505,90,DC,Brighton,Burnley,0,0,2020-11-06,7699,2020,66,0,0.0,0,0,0,0.013115400448441505,0.15417100489139557,0.15417100489139557,14506
2020-21,Adam Webster,9,0,0,0.0,90,DC,Aston Villa,Brighton,1,2,2020-11-21,7699,2020,66,0,0.0,0,0,0,0.0,0.5088859796524048,0.5088859796524048,14515
2020-21,Adam Webster,10,0,1,0.07352060079574585,90,DC,Brighton,Liverpool,1,1,2020-11-28,7699,2020,66,0,0.0,0,0,0,0.07352060079574585,0.07509870082139969,0.07509870082139969,14528
2020-21,Adam Webster,11,0,1,0.040118299424648285,90,DC,Brighton,Southampton,1,2,2020-12-07,7699,2020,66,0,0.0,0,0,0,0.040118299424648285,0.12241800129413605,0.12241800129413605,14536
2020-21,Adam Webster,13,0,1,0.09545230120420456,90,DC,Fulham,Brighton,0,0,2020-12-16,7699,2020,66,0,0.061964001506567,0,1,0,0.09545230120420456,0.061964001506567,0.061964001506567,14557
2020-21,Adam Webster,14,0,3,0.1343819946050644,90,DC,Brighton,Sheffield United,1,1,2020-12-20,7699,2020,66,0,0.0,0,0,0,0.1343819946050644,0.6479669809341431,0.6479669809341431,14565
2020-21,Adam Webster,15,0,2,0.1131569966673851,90,DC,West Ham,Brighton,2,2,2020-12-27,7699,2020,66,0,0.0,0,0,0,0.1131569966673851,0.25589799880981445,0.25589799880981445,14583
2020-21,Adam Webster,16,0,0,0.0,90,DC,Brighton,Arsenal,0,1,2020-12-29,7699,2020,66,0,0.0,0,0,0,0.0,0.17990699410438538,0.17990699410438538,14585
2020-21,Adam Webster,19,0,1,0.0303639005869627,90,DC,Leeds,Brighton,0,1,2021-01-16,7699,2020,66,0,0.0,0,0,0,0.0303639005869627,0.0303639005869627,0.0,14618
